gene	Ambalavanan_25449221	Da_paepe_20718599	Hadchoul_data	Hamvas_30342483	Li_26030808	Torgerson_30113228	Wang_23897914	Ahmed_37839510	Zasada_31445514	Zasada_31445514_day36GA	Bharracharya_22723293	Bhattacharya_33552042	Dai_34276789_data	Fulton_30459472	Gong_32412065	Luo_36514862_eqtl	Oji_mmuo_33177681_mRNA	Pietrzyk_24194948_down_day28	Pietrzyk_24194948_down_day5	Pietrzyk_24194948_up_day28	Pietrzyk_24194948_up_day5	Shen_33093882	Siddiah_37123538	Tsotakos_35947545_down	Windhorst_37090732	Yuon_chou_37507442_cpg_day14	Yuon_chou_37507442_cpg_day28	Yuon_chou_37507442_deg_day14	maic_score	contributors
NBL1	0.0	0.0	0.0	0.0	0.0	1.6435607112035042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0878612577202764	0.0	2.7314219689237804	GENOMICS: Torgerson_30113228, TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28
RASGRP3	0.0	0.0	0.0	0.0	1.1762441116620177	1.479653585108813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.132783735113454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0857119503281207	0.0	0.0	2.6124373202222673	GENOMICS: Torgerson_30113228, TRANSCRIPTOMICS: Gong_32412065
CD44	1.2658336316289205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2612272686672257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.527060900296146	GENOMICS: Ambalavanan_25449221, PROTEOMICS: Zasada_31445514_day36GA
RIMBP2	0.0	0.0	0.0	0.0	0.0	1.4318400754138778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0878637927118033	0.0	2.5197038681256814	GENOMICS: Torgerson_30113228, TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28
THBS1	0.0	1.3594236234738646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1502256846304513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.509649308104316	TRANSCRIPTOMICS: Pietrzyk_24194948_up_day28, GENOMICS: Da_paepe_20718599
FAAP20	0.0	0.0	0.0	0.0	1.1762441116620177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0946256227912423	1.3208790614056183	0.0	2.497123173067636	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28
PHACTR4	0.0	0.0	0.0	0.0	1.1762441116620177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3006262390801266	1.1197681506715633	2.4768703507421446	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28
COL18A1	0.0	1.3594236234738646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1156913481086737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4751149715825385	GENOMICS: Da_paepe_20718599, TRANSCRIPTOMICS: Gong_32412065
TEK	0.0	1.3594236234738646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1146236070779776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.474047230551842	TRANSCRIPTOMICS: Fulton_30459472, GENOMICS: Da_paepe_20718599
SPOCD1	0.0	0.0	0.0	0.0	1.1762441116620177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.108484423466659	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2821336915695627	0.0	2.4583778032315804	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28
FGFR3	0.0	1.3594236234738646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0940125223532073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.087849469598708	0.0	2.453436145827072	TRANSCRIPTOMICS: Dai_34276789_data, GENOMICS: Da_paepe_20718599
TGFA	0.0	1.3594236234738646	0.0	0.0	1.1762441116620177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08452150107913	0.0	0.0	2.443945124552995	GENOMICS: Da_paepe_20718599, TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14
