gene,Chen28689251,Nichols_24571919,x_hurskainen_33692365_endothelial,x_hurskainen_33692365_epithelial,x_hurskainen_33692365_stroma,x_lingappan_25003466_both_ranked,x_scaffa_34417156_ranked,Al_mudares_37368978_female,Al_mudares_37368978_male,Bao_27137150,Bhaskaran_22911455,Bhattacharya_25150062,Chao27770432,Cheng_31961470,Coarfa_28818871,Denervaud_26353077,Dong_36157523,Natarajan_28851267_down,Natarajan_28851267_up,x_dravet_gounot_29287116_p10,x_dravet_gounot_29287116_p10_ranked,x_lingappan_25003466_female,x_lingappan_25003466_male,x_nitkin_32753701_24hr_unranked,x_nitkin_32753701_6hr_unranked,x_rao_37310763_ranked,x_revhaug_31454811_down_ranked,x_revhaug_31454811_up_ranked,x_shrestha_33446917_down_,x_shrestha_33446917_up,x_xing_26398774_down,x_xing_26398774_up,maic_score,contributors
CPM,1.407059167,0,0,0,0,0,1.304693725,0,0,0,0,0,0,0,0,0,1.388619625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.100372516,"SCRNASEQ: x_scaffa_34417156_ranked, TRANSCRIPTOMICS: Dong_36157523, GENOMICS: Chen28689251"
BHLHE40,1.407059167,0,0,0,0,0,1.303059987,0,1.334694775,0,0,1.369537167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.414351095,"SCRNASEQ: x_scaffa_34417156_ranked, TRANSCRIPTOMICS: Bhattacharya_25150062, GENOMICS: Chen28689251"
ANGPTL2,1.407059167,0,1.224511937,1.223253471,1.22025886,0,1.301858544,0,0,0,0,1.369535047,0,0,0,0,0,0,0,0,0,0,0,1.358765907,0,1.244897255,0,0,0,0,0,0,10.35014019,"SCRNASEQ: x_scaffa_34417156_ranked, TRANSCRIPTOMICS: Bhattacharya_25150062, GENOMICS: Chen28689251"
GUCY1A1,1.407059167,0,0,0,0,0,1.301549762,1.335479945,0,0,0,1.369537067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.413625941,"SCRNASEQ: x_scaffa_34417156_ranked, TRANSCRIPTOMICS: Bhattacharya_25150062, GENOMICS: Chen28689251"
ADGRG2,1.407059167,0,0,0,0,0,1.30034832,0,0,0,0,1.369535037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.076942523,"SCRNASEQ: x_scaffa_34417156_ranked, TRANSCRIPTOMICS: Bhattacharya_25150062, GENOMICS: Chen28689251"
SYK,1.407059167,0,0,0,0,0,1.305541472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.358765907,0,0,0,0,0,0,0,0,4.071366546,"SCRNASEQ: x_scaffa_34417156_ranked, TRANSCRIPTOMICS: x_nitkin_32753701_24hr_unranked, GENOMICS: Chen28689251"
RAC2,1.407059167,0,0,0,0,0,1.305451644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.358765907,0,0,0,0,0,0,0,0,4.071276719,"SCRNASEQ: x_scaffa_34417156_ranked, TRANSCRIPTOMICS: x_nitkin_32753701_24hr_unranked, GENOMICS: Chen28689251"
PLA2G7,1.407059167,0,0,0,0,0,1.304884608,1.335478765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.358765907,0,0,0,0,0,0,0,0,5.406188447,"SCRNASEQ: x_scaffa_34417156_ranked, TRANSCRIPTOMICS: x_nitkin_32753701_24hr_unranked, GENOMICS: Chen28689251"
NRCAM,1.407059167,0,0,0,0,0,1.303368769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.358765907,0,0,0,0,0,0,0,0,4.069193843,"SCRNASEQ: x_scaffa_34417156_ranked, TRANSCRIPTOMICS: x_nitkin_32753701_24hr_unranked, GENOMICS: Chen28689251"
LARS2,1.407059167,0,0,0,0,0,1.307978043,0,1.353591698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.068628907,"SCRNASEQ: x_scaffa_34417156_ranked, GENOMICS: Chen28689251, TRANSCRIPTOMICS: Al_mudares_37368978_male"
