gene	Ambalavanan_25449221	Da_paepe_20718599	Hadchoul_data	Hamvas_30342483	Li_26030808	Torgerson_30113228	Wang_23897914	Ahmed_37839510	Zasada_31445514	Zasada_31445514_day36GA	Bharracharya_22723293	Bhattacharya_33552042	Dai_34276789_data	Fulton_30459472	Gong_32412065	Luo_36514862_eqtl	Oji_mmuo_33177681_mRNA	Pietrzyk_24194948_down_day28	Pietrzyk_24194948_down_day5	Pietrzyk_24194948_up_day28	Pietrzyk_24194948_up_day5	Shen_33093882	Siddiah_37123538	Tsotakos_35947545_down	Windhorst_37090732	Yuon_chou_37507442_cpg_day14	Yuon_chou_37507442_cpg_day28	Yuon_chou_37507442_deg_day14	maic_score	contributors
NBL1	0.0	0.0	0.0	0.0	0.0	1.6433462329366069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0873057393764776	0.0	2.730651972313084	GENOMICS: Torgerson_30113228, TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28
RASGRP3	0.0	0.0	0.0	0.0	1.1758412366103097	1.4795407109160064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1327570400843356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0856957012600168	0.0	0.0	2.612297751000342	GENOMICS: Torgerson_30113228, TRANSCRIPTOMICS: Gong_32412065
CD44	1.2658323267843838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.261205757274733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.527038084059117	GENOMICS: Ambalavanan_25449221, PROTEOMICS: Zasada_31445514_day36GA
RIMBP2	0.0	0.0	0.0	0.0	0.0	1.4317389993015572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0873085769335185	0.0	2.5190475762350757	GENOMICS: Torgerson_30113228, TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28
THBS1	0.0	1.3594194672967326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1502013540419063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.509620821338639	TRANSCRIPTOMICS: Pietrzyk_24194948_up_day28, GENOMICS: Da_paepe_20718599
FAAP20	0.0	0.0	0.0	0.0	1.1758412366103097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.094636720857533	1.3195403887950945	0.0	2.495381625405404	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28
PHACTR4	0.0	0.0	0.0	0.0	1.1758412366103097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2996053598909003	1.1197375174158521	2.47544659650121	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28
COL18A1	0.0	1.3594194672967326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.115665614152923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.475085081449656	GENOMICS: Da_paepe_20718599, TRANSCRIPTOMICS: Gong_32412065
TEK	0.0	1.3594194672967326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1145749408659957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4739944081627283	TRANSCRIPTOMICS: Fulton_30459472, GENOMICS: Da_paepe_20718599
SPOCD1	0.0	0.0	0.0	0.0	1.1758412366103097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1084566045032866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.281381543288733	0.0	2.4572227798990425	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28
FGFR3	0.0	1.3594194672967326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0939956730564664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0872932687546282	0.0	2.453415140353199	TRANSCRIPTOMICS: Dai_34276789_data, GENOMICS: Da_paepe_20718599
TGFA	0.0	1.3594194672967326	0.0	0.0	1.1758412366103097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0845015997144294	0.0	0.0	2.443921067011162	GENOMICS: Da_paepe_20718599, TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14
KDR	0.0	1.3594194672967326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0835507410762764	0.0	0.0	2.442970208373009	GENOMICS: Da_paepe_20718599, TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14
PHGDH	0.0	0.0	0.0	0.0	1.1758412366103097	0.0	0.0	1.244419704631024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4202609412413336	GENOMICS: Li_26030808, PROTEOMICS: Ahmed_37839510
S100A11	0.0	0.0	0.0	0.0	1.1758412366103097	0.0	0.0	1.244419704631024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4202609412413336	GENOMICS: Li_26030808, PROTEOMICS: Ahmed_37839510
S100A14	0.0	0.0	0.0	0.0	1.1758412366103097	0.0	0.0	1.244419704631024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4202609412413336	GENOMICS: Li_26030808, PROTEOMICS: Ahmed_37839510
SERPINC1	0.0	0.0	0.0	0.0	1.1758412366103097	0.0	0.0	1.244419704631024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4202609412413336	GENOMICS: Li_26030808, PROTEOMICS: Ahmed_37839510
